id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
327890,I Am Bread,2015.0,60.0,6.0,3.4710031347962382,2.61,5.57,11.86,9.25,Story Rich|Action-Adventure|Action|Adventure|Physics|Memes|Controller|Female Protagonist|Third-Person Shooter|Comedy|Beautiful|Early Access|Funny|Survival Horror|Sexual Content|Casual|Indie|Epic|Singleplayer|Simulation|Realistic|3D Platformer|Cute|Intentionally Awkward Controls|Third Person|Family Friendly|Difficult|Open World|Sandbox
738520,Breathedge,2021.0,71.0,8.0,5.129168623767026,15.79,24.65,32.83,17.04,Horror|First-Person|Action-Adventure|Multiplayer|Action|Futuristic|Adventure|Atmospheric|Exploration|Co-op|Comedy|FPS|Early Access|Crafting|Survival Horror|Survival|Indie|Singleplayer|Simulation|Space|Aliens|Open World Survival Craft|Open World|Sandbox|Sci-fi
1015500,WWE 2K20,2019.0,43.0,5.0,0.7466745492166716,28.31,37.39,47.16,18.85,Horror|Memes|Sexual Content|Multiplayer|Character Customization|Wrestling|Psychological Horror|Sports|Fighting|Simulation
664430,WWE 2K18,2017.0,64.0,5.0,1.1461232604373757,25.0,50.35,55.0,30.0,Multiplayer|Character Customization|Fighting|Wrestling|Singleplayer|Co-op|Sports|Local Co-Op|Simulation
594330,Visage,2020.0,81.0,8.0,6.241737488196412,8.96,11.93,15.1,6.139999999999999,Horror|Story Rich|First-Person|Multiplayer|Action|Adventure|Atmospheric|Exploration|Walking Simulator|Surreal|Psychological Horror|Co-op|Early Access|Survival Horror|Indie|Singleplayer|Simulation|Realistic|Violent|Dark|Experimental
428660,Deliver Us The Moon,2019.0,68.0,8.0,8.082857142857144,4.99,6.09,7.38,2.39,Story Rich|First-Person|Space Sim|Action-Adventure|Multiplayer|Action|Adventure|Atmospheric|Exploration|Puzzle|Walking Simulator|Mystery|Survival|Indie|Short|Singleplayer|Simulation|Space|Drama|Third Person|Sci-fi
240440,Quadrilateral Cowboy,2016.0,81.0,8.0,11.18840579710145,4.83,5.95,6.05,1.2199999999999998,Story Rich|First-Person|Hacking|Action|Adventure|Heist|Atmospheric|Exploration|Puzzle|Cyberpunk|Female Protagonist|Programming|Typing|Casual|Indie|Short|Singleplayer|Simulation|Anime|Immersive Sim|Sci-fi
313630,The Solus Project,2016.0,68.0,6.0,3.941747572815534,14.61,19.04,32.64,18.03,Horror|Story Rich|First-Person|Multiplayer|Adventure|VR|Atmospheric|Exploration|Walking Simulator|Psychological Horror|Early Access|Crafting|Mystery|Survival Horror|Survival|Indie|Singleplayer|Simulation|Space|Open World|Illuminati|Sandbox|Sci-fi
250620,Among the Sleep - Enhanced Edition,2014.0,66.0,8.0,7.14125,2.41,3.11,3.36,0.9499999999999996,Horror|Story Rich|First-Person|Action|Adventure|VR|Stealth|Atmospheric|Exploration|Puzzle|Free to Play|Walking Simulator|Psychological Horror|FPS|Kickstarter|Survival Horror|Survival|Indie|Short|Simulation|Singleplayer|Dark|Cute
584980,Late Shift,2017.0,79.0,8.0,6.401631912964642,1.34,3.02,5.24,3.9,Horror|Story Rich|Crime|Adventure|Atmospheric|Movie|Multiple Endings|Nudity|Sexual Content|Indie|Thriller|Simulation|Singleplayer|Choose Your Own Adventure|FMV|Realistic|Drama|Violent|Interactive Fiction|Choices Matter|Cinematic
501080,Fishing: Barents Sea,2018.0,69.0,6.0,3.764826175869121,36.21,40.92,52.11,15.9,Realistic|Sailing|Fishing|Sexual Content|Free to Play|Multiplayer|Singleplayer|Open World|Simulation|Naval
205190,Rocksmith™,2012.0,78.0,8.0,10.8,14.8,56.02,212.06,197.26,Rhythm|Music|Education|Casual|Singleplayer|Simulation
302080,Bus Driver,2014.0,61.0,8.0,4.151436031331593,7.16,8.19,8.12,0.9599999999999992,Nudity|Realistic|Automobile Sim|Casual|Free to Play|Multiplayer|Indie|Driving|Simulation|Singleplayer|Open World
469610,Rick and Morty: Virtual Rick-ality,2017.0,75.0,6.0,2.932135728542914,2.07,2.9,5.0,2.93,Horror|First-Person|Multiplayer|Adventure|VR|Puzzle|Memes|Psychological Horror|Comedy|Nudity|Funny|Sexual Content|Indie|Singleplayer|Simulation|Violent|Anime|Cartoon|NSFW|Sandbox|Sci-fi
510510,WWE 2K17,2017.0,61.0,5.0,1.799671592775041,14.9,61.21,189.18,174.28,Nudity|Violent|Memes|Anime|Free to Play|Character Customization|Multiplayer|Action|Sexual Content|Wrestling|Singleplayer|Sports|Fighting|Simulation
296830,Lucius II,2015.0,48.0,5.0,1.5772669220945084,6.42,9.28,9.68,3.26,Horror|Action|Adventure|Stealth|Demons|Atmospheric|Puzzle|Gore|Psychological Horror|Villain Protagonist|Nudity|Mature|Funny|Indie|Blood|Singleplayer|Simulation|Dark|Third Person|Family Friendly|Open World
785790,WHAT THE GOLF?,2020.0,83.0,8.0,14.835164835164836,3.43,5.74,8.26,4.83,Action-Adventure|Level Editor|Action|Mini Golf|Adventure|Physics|Puzzle|Memes|Local Multiplayer|Comedy|Parody |Satire|Funny|Casual|Indie|Singleplayer|Simulation|Colorful|Cute|Stylized
272890,Vertiginous Golf,2015.0,63.0,5.0,1.3362068965517242,2.48,4.24,8.1,5.619999999999999,First-Person|Steampunk|Dystopian |Multiplayer|Mini Golf|Golf|Physics|Atmospheric|Psychological Horror|Local Multiplayer|Controller|Beautiful|Early Access|3D|Casual|Indie|Capitalism|Sports|Simulation|Singleplayer|Alternate History|4 Player Local
726830,Vacation Simulator,2019.0,77.0,8.0,10.355263157894736,4.61,8.94,10.37,5.759999999999999,Colorful|Cute|First-Person|Funny|VR|Casual|Family Friendly|Action|Singleplayer|Adventure|Comedy|Simulation|Sandbox|Open World
1356670,Sakuna: Of Rice and Ruin,2020.0,82.0,8.0,12.870253164556962,29.65,34.62,48.42,18.770000000000003,Story Rich|Side Scroller|Action|Combat|Platformer|Demons|Female Protagonist|Mythology|Crafting|Singleplayer|Dog|Simulation|Farming Sim|Colorful|Anime|Third Person|Loot|Agriculture|Difficult|Cats
756800,Contraband Police,2023.0,77.0,8.0,15.295514511873352,12.02,13.65,15.32,3.3000000000000007,Story Rich|Automobile Sim|Action-Adventure|First-Person|Action|Physics|Atmospheric|Management|Detective|FPS|1980s|Multiple Endings|Destruction|Survival|Indie|Singleplayer|Simulation|Realistic|Immersive Sim|Open World
1138850,Heavenly Bodies,2021.0,84.0,9.0,24.546511627906977,4.79,6.03,10.39,5.6000000000000005,Action|Adventure|2.5D|Physics|Atmospheric|Puzzle|Controller|Co-op|Local Co-Op|Local Multiplayer|Comedy|Funny|Indie|Precision Platformer|Singleplayer|Simulation|Space|Difficult|Stylized
39630,AquaNox,2010.0,67.0,6.0,2.453608247422681,9.62,9.77,11.5,1.8800000000000008,6DOF|Classic|Atmospheric|Underwater|Multiplayer|Cyberpunk|Action|Singleplayer|Shooter|Simulation|Sci-fi|Submarine
300060,ADR1FT,2016.0,64.0,5.0,1.2422680412371134,4.7,5.68,9.33,4.63,Horror|Space|First-Person|Atmospheric|Survival|Indie|Walking Simulator|Adventure|Female Protagonist|Simulation|Singleplayer|VR|Sci-fi
711540,Lonely Mountains: Downhill,2019.0,80.0,8.0,11.341614906832298,6.03,11.37,35.66,29.629999999999995,Fast-Paced|Multiplayer|Action|Driving|Physics|Atmospheric|Cycling|Competitive|Offroad|Racing|Funny|3D|Indie|Singleplayer|Simulation|Realistic|Bikes|Difficult|Open World|Sports
588950,Kingsway,2017.0,80.0,8.0,11.70796460176991,5.16,13.49,37.5,32.34,RPG|Indie|Retro|Pixel Graphics|Singleplayer|Adventure|Simulation
47920,Shift 2 Unleashed,2011.0,84.0,5.0,2.058385093167702,19.92,36.47,50.19,30.27,Realistic|Racing|Automobile Sim|Multiplayer|Driving|Singleplayer|Simulation
269730,The Golf Club,2014.0,70.0,5.0,1.7707808564231735,9.83,12.32,14.0,4.17,Procedural Generation|Golf|Multiplayer|Level Editor|Action|Sports|Simulation|Singleplayer|FPS|Early Access
12330,Darkstar One,2008.0,71.0,8.0,4.725274725274725,21.39,23.53,26.13,4.739999999999998,Space|RPG|Exploration|Space Sim|Spaceships|Action|Singleplayer|Open World|Simulation|Sci-fi
